score_kind,tau,tp,fp,fn,tn,precision,recall,f1,tpr,fpr,accuracy
entail,0.0,2907,2907,0,0,0.5,1.0,0.6666666666666666,1.0,1.0,0.5
entail,0.01,2891,1179,16,1728,0.7103194103194104,0.9944960440316477,0.828722946825283,0.9944960440316477,0.4055727554179567,0.7944616443068455
entail,0.02,2881,1098,26,1809,0.7240512691631064,0.9910560715514276,0.8367702584954981,0.9910560715514276,0.37770897832817335,0.8066735466116272
entail,0.03,2877,1035,30,1872,0.7354294478527608,0.9896800825593395,0.8438187417509899,0.9896800825593395,0.3560371517027864,0.8168214654282766
entail,0.04,2869,981,38,1926,0.7451948051948052,0.9869281045751634,0.8491934290365547,0.9869281045751634,0.33746130030959753,0.8247334021327829
entail,0.05,2863,947,44,1960,0.7514435695538058,0.9848641210870313,0.8524638975733214,0.9848641210870313,0.325765393876849,0.8295493636050911
entail,0.06,2857,919,50,1988,0.7566207627118644,0.9828001375988992,0.855005237168936,0.9828001375988992,0.31613347093223254,0.8333333333333334
entail,0.07,2855,890,52,2017,0.7623497997329773,0.9821121431028552,0.8583884546001204,0.9821121431028552,0.3061575507395941,0.8379772961816305
entail,0.08,2854,865,53,2042,0.767410594245765,0.9817681458548332,0.8614548747358889,0.9817681458548332,0.2975576195390437,0.8421052631578947
entail,0.09,2846,841,61,2066,0.7719012747491185,0.979016167870657,0.8632089778586595,0.979016167870657,0.2893016855865153,0.8448572411420708
entail,0.1,2843,820,64,2087,0.7761397761397761,0.9779841761265909,0.8654490106544901,0.9779841761265909,0.28207774337805297,0.847953216374269
entail,0.11,2837,801,70,2106,0.779824079164376,0.9759201926384589,0.8669213139801375,0.9759201926384589,0.2755417956656347,0.8501891984864121
entail,0.12,2832,772,75,2135,0.7857935627081021,0.9742002063983488,0.8699124558439564,0.9742002063983488,0.2655658754729962,0.8543171654626763
entail,0.13,2830,760,77,2147,0.7883008356545961,0.9735122119023047,0.8711713098353085,0.9735122119023047,0.26143790849673204,0.8560371517027864
entail,0.14,2827,749,80,2158,0.7905480984340044,0.9724802201582388,0.8721271016504705,0.9724802201582388,0.25765393876848985,0.8574131406948744
entail,0.15,2824,740,83,2167,0.792368125701459,0.9714482284141727,0.8728171843609951,0.9714482284141727,0.25455796353629173,0.8584451324389405
entail,0.16,2822,725,85,2182,0.7956019171130533,0.9707602339181286,0.8744964363185622,0.9707602339181286,0.24939800481596147,0.8606811145510835
entail,0.17,2821,718,86,2189,0.7971178298954507,0.9704162366701067,0.8752714861929879,0.9704162366701067,0.24699002407980736,0.8617131062951496
entail,0.18,2817,710,90,2197,0.7986957754465551,0.9690402476780186,0.8756605533105378,0.9690402476780186,0.24423804609563124,0.8624011007911937
entail,0.19,2813,699,94,2208,0.8009681093394078,0.9676642586859305,0.876460507867269,0.9676642586859305,0.24045407636738905,0.8636050911592708
entail,0.2,2809,690,98,2217,0.8028008002286368,0.9662882696938424,0.876990321573525,0.9662882696938424,0.23735810113519093,0.8644650842793258
entail,0.21,2806,678,101,2229,0.8053960964408725,0.9652562779497764,0.8781098419652638,0.9652562779497764,0.23323013415892674,0.8660130718954249
entail,0.22,2805,669,102,2238,0.8074265975820379,0.9649122807017544,0.8791725434884814,0.9649122807017544,0.2301341589267286,0.8673890608875129
entail,0.23,2802,661,105,2246,0.8091250360958706,0.9638802889576883,0.8797488226059654,0.9638802889576883,0.22738218094255247,0.8682490540075679
entail,0.24,2800,651,107,2256,0.8113590263691683,0.9631922944616443,0.8807801195344447,0.9631922944616443,0.22394220846233232,0.869625042999656
entail,0.25,2797,639,110,2268,0.8140279394644936,0.9621603027175782,0.881917073939776,0.9621603027175782,0.21981424148606812,0.8711730306157551
entail,0.26,2794,631,113,2276,0.8157664233576642,0.9611283109735123,0.8825015792798484,0.9611283109735123,0.21706226350189198,0.8720330237358102
entail,0.27,2793,623,114,2284,0.8176229508196722,0.9607843137254902,0.8834414043966472,0.9607843137254902,0.21431028551771586,0.8732370141038872
entail,0.28,2792,613,115,2294,0.8199706314243759,0.9604403164774682,0.8846641318124209,0.9604403164774682,0.2108703130374957,0.8747850017199862
entail,0.29,2790,602,117,2305,0.8225235849056604,0.9597523219814241,0.8858548976027941,0.9597523219814241,0.20708634330925352,0.8763329893360853
entail,0.3,2790,597,117,2310,0.8237378210806023,0.9597523219814241,0.886558627264061,0.9597523219814241,0.20536635706914344,0.8771929824561403
entail,0.31,2788,593,119,2314,0.8246081041112097,0.9590643274853801,0.88676844783715,0.9590643274853801,0.2039903680770554,0.8775369797041623
entail,0.32,2786,577,121,2330,0.8284269997026464,0.9583763329893361,0.8886762360446571,0.9583763329893361,0.19848641210870313,0.8799449604403164
entail,0.33,2784,570,123,2337,0.8300536672629696,0.957688338493292,0.8893148059415429,0.957688338493292,0.19607843137254902,0.8808049535603715
entail,0.34,2778,560,129,2347,0.8322348711803476,0.95562435500516,0.8896717373899119,0.95562435500516,0.19263845889232886,0.8814929480564155
entail,0.35,2774,553,133,2354,0.8337841899609257,0.954248366013072,0.8899582932306704,0.954248366013072,0.19023047815617475,0.8820089439284485
entail,0.36,2771,538,136,2369,0.837413115744938,0.9532163742690059,0.8915701415701416,0.9532163742690059,0.18507051943584452,0.8840729274165807
entail,0.37,2769,534,138,2373,0.8383287920072662,0.9525283797729618,0.8917874396135266,0.9525283797729618,0.18369453044375644,0.8844169246646026
entail,0.38,2769,528,138,2379,0.8398544131028207,0.9525283797729618,0.8926499032882012,0.9525283797729618,0.18163054695562436,0.8854489164086687
entail,0.39,2763,525,144,2382,0.8403284671532847,0.9504643962848297,0.8920096852300241,0.9504643962848297,0.18059855521155832,0.8849329205366357
entail,0.4,2755,517,152,2390,0.8419926650366748,0.9477124183006536,0.8917300534067001,0.9477124183006536,0.17784657722738217,0.8849329205366357
entail,0.41,2752,511,155,2396,0.8433956481765247,0.9466804265565876,0.8920583468395463,0.9466804265565876,0.1757825937392501,0.8854489164086687
entail,0.42,2747,499,160,2408,0.8462723351817621,0.9449604403164775,0.8928977734438485,0.9449604403164775,0.1716546267629859,0.8866529067767458
entail,0.43,2746,493,161,2414,0.847792528558197,0.9446164430684555,0.8935893263911487,0.9446164430684555,0.1695906432748538,0.8875128998968008
entail,0.44,2739,488,168,2419,0.8487759528974279,0.9422084623323014,0.8930551027062277,0.9422084623323014,0.16787065703474371,0.8871689026487788
entail,0.45,2735,483,172,2424,0.8499067743940336,0.9408324733402132,0.893061224489796,0.9408324733402132,0.16615067079463364,0.8873409012727899
entail,0.46,2728,476,179,2431,0.8514357053682896,0.9384244926040591,0.8928162330224185,0.9384244926040591,0.16374269005847952,0.8873409012727899
entail,0.47,2724,470,183,2437,0.8528490920475892,0.9370485036119711,0.8929683658416654,0.9370485036119711,0.16167870657034744,0.8876848985208118
entail,0.48,2721,462,186,2445,0.8548539114043355,0.936016511867905,0.8935960591133005,0.936016511867905,0.15892672858617132,0.8885448916408669
entail,0.49,2715,455,192,2452,0.8564668769716088,0.9339525283797729,0.89353299325325,0.9339525283797729,0.1565187478500172,0.8887168902648779
entail,0.5,2712,448,195,2459,0.8582278481012658,0.932920536635707,0.8940168122630626,0.932920536635707,0.1541107671138631,0.8894048847609219
entail,0.51,2710,442,197,2465,0.8597715736040609,0.9322325421396629,0.8945370523188645,0.9322325421396629,0.15204678362573099,0.8900928792569659
