kind,score_kind,tau,tp,fp,fn,tn,precision,recall,f1,tpr,fpr,accuracy
noun_close_entity,entail,0.0,563,563,0,0,0.5,1.0,0.6666666666666666,1.0,1.0,0.5
noun_close_entity,entail,0.01,557,492,6,71,0.5309818875119161,0.9893428063943162,0.6910669975186103,0.9893428063943162,0.8738898756660746,0.5577264653641207
noun_close_entity,entail,0.02,554,457,9,106,0.5479723046488625,0.9840142095914742,0.7039390088945361,0.9840142095914742,0.8117229129662522,0.5861456483126111
noun_close_entity,entail,0.03,552,436,11,127,0.5587044534412956,0.9804618117229129,0.7117988394584138,0.9804618117229129,0.7744227353463587,0.6030195381882771
noun_close_entity,entail,0.04,552,409,11,154,0.5744016649323621,0.9804618117229129,0.7244094488188977,0.9804618117229129,0.7264653641207816,0.6269982238010657
noun_close_entity,entail,0.05,549,396,14,167,0.580952380952381,0.9751332149200711,0.7281167108753316,0.9751332149200711,0.7033747779751333,0.6358792184724689
noun_close_entity,entail,0.06,549,388,14,175,0.5859124866595518,0.9751332149200711,0.7320000000000001,0.9751332149200711,0.6891651865008881,0.6429840142095915
noun_close_entity,entail,0.07,549,375,14,188,0.5941558441558441,0.9751332149200711,0.738399462004035,0.9751332149200711,0.6660746003552398,0.6545293072824157
noun_close_entity,entail,0.08,548,364,15,199,0.6008771929824561,0.9733570159857904,0.7430508474576272,0.9733570159857904,0.6465364120781527,0.6634103019538188
noun_close_entity,entail,0.09,547,353,16,210,0.6077777777777778,0.9715808170515098,0.7477785372522214,0.9715808170515098,0.6269982238010657,0.672291296625222
noun_close_entity,entail,0.1,545,347,18,216,0.6109865470852018,0.9680284191829485,0.7491408934707904,0.9680284191829485,0.6163410301953819,0.6758436944937833
noun_close_entity,entail,0.11,543,338,20,225,0.6163450624290578,0.9644760213143873,0.7520775623268698,0.9644760213143873,0.6003552397868561,0.6820603907637656
noun_close_entity,entail,0.12,542,323,21,240,0.6265895953757226,0.9626998223801065,0.7591036414565826,0.9626998223801065,0.5737122557726465,0.69449378330373
noun_close_entity,entail,0.13,540,319,23,244,0.6286379511059371,0.9591474245115453,0.7594936708860759,0.9591474245115453,0.566607460035524,0.6962699822380106
noun_close_entity,entail,0.14,540,315,23,248,0.631578947368421,0.9591474245115453,0.7616361071932298,0.9591474245115453,0.5595026642984015,0.6998223801065719
